timestamp,elapsed_ms,PT0_psi,PT1_psi,PT2_psi,PT3_psi,PT4_psi,PT5_psi,PT6_psi,PT7_psi,PT8_psi,PT9_psi,PT10_psi,PT11_psi,PT12_psi,PT13_psi,PT14_psi,PT15_psi
2025-10-15T20:11:27.579Z,6006,10.65,1.21,,9.32,12.48,15.82,12.12,,13.6,,13,18.54,,,,
2025-10-15T20:11:30.750Z,9178,10.39,1.21,,9.14,13.03,15.84,11.43,,13.7,,12.93,18.51,,,,
2025-10-15T20:11:33.979Z,12406,10.73,1.2,,8.98,12.68,15.79,11.83,,13.69,,13.09,18.53,,,,
2025-10-15T20:11:37.108Z,15535,10.92,1.21,,9.06,12.16,15.52,11.52,,13.68,,12.91,18.48,,,,
2025-10-15T20:11:40.310Z,18737,10.32,1.18,,9.03,12.67,15.67,11.57,,13.91,,12.87,18.32,,,,
2025-10-15T20:11:43.536Z,21963,10.35,1.2,,9.15,12.72,15.89,11.7,,13.62,,12.83,18.12,,,,
2025-10-15T20:11:46.775Z,25202,10.41,1.14,,9.03,12.18,15.8,11.25,,13.87,,12.95,18.54,,,,
2025-10-15T20:11:50.046Z,28473,10.61,1.26,,9.22,12.26,15.64,11.26,,13.73,,12.49,18.17,,,,
2025-10-15T20:11:53.277Z,31704,10.85,1.18,,9.23,12.52,15.73,11.55,,13.89,,12.84,18.3,,,,
2025-10-15T20:11:56.594Z,35021,10.69,1.18,,9.1,12.23,15.9,11.7,,13.57,,13.01,18.4,,,,
2025-10-15T20:11:59.891Z,38318,10.12,1.25,,9.3,12.33,15.61,11.54,,13.89,,12.51,18.25,,,,
2025-10-15T20:12:03.208Z,41635,11.09,1.26,,8.98,12.28,15.84,11.74,,13.91,,12.97,18.33,,,,
